流转类型,运输方式,来源单元,到达单元,物质名称,物质品类,物质量,日运输量,重车起点,重车终点,空车起点,空车终点
铁前,公路,原料场,265+400烧结厂,石灰石,熔剂,4.4,0.012054794520547946,3,26,26,3
回收,公路,炼铁5,原料场,返球团,其他副产品,4.01,0.010986301369863014,48,3,3,48
仓配,公路,原料场,新炼钢,铁矿石,熔剂,3.33,0.009123287671232877,3,32,32,3
仓配,公路,石灰厂,老炼钢,轻烧白云石,主产品,3.24,0.008876712328767123,15,43,43,15
仓配,公路,原料场,老炼钢,白云石,熔剂,3.24,0.008876712328767123,3,43,43,3
回收,公路,老炼钢,原料场,OG泥,其他副产品,3.12,0.008547945205479452,43,3,3,43
回收,公路,新炼钢,废钢堆场,钢水罐铸余及事故钢水,废钢类,3.06,0.008383561643835616,32,46,46,32
铁前,胶带,原料场,球团厂,膨润土,原料,2.46,0.00673972602739726,3,23,23,3
仓配,公路,原料场,老炼钢,铁矿石,熔剂,2.27,0.006219178082191781,3,43,43,3
回收,公路,老炼钢,废钢堆场,钢水罐铸余及事故钢水,废钢类,2.08,0.005698630136986301,43,46,46,43
仓配,公路,原料场,新炼钢,压块OG泥,冶金辅料,1.66,0.0045479452054794514,3,32,32,3
回收,公路,新炼钢,废钢堆场,连铸切头切尾,废钢类,1.53,0.004191780821917808,32,46,46,32
仓配,公路,原料场,新炼钢,萤石,熔剂,1.32,0.0036164383561643836,3,32,32,3
仓配,公路,原料场,老炼钢,压块OG泥,冶金辅料,1.13,0.0030958904109589036,3,43,43,3
回收,公路,老炼钢,废钢堆场,连铸切头切尾,废钢类,1.04,0.0028493150684931507,43,46,46,43
仓配,公路,原料场,老炼钢,萤石,熔剂,0.9,0.002465753424657534,3,43,43,3
仓配,公路,原料场,新炼钢,钢包改质剂,冶金辅料,0.85,0.002328767123287671,3,32,32,3
仓配,公路,原料场,新炼钢,合成渣,冶金辅料,0.85,0.002328767123287671,3,32,32,3
