流转类型,运输方式,来源单元,到达单元,物质名称,物质品类,物质量,日运输量,重车起点,重车终点,空车起点,空车终点,运输车辆的最大装载量,车次,日运输量新,车辆折算系数
回收,公路,炼铁5,原料场,返球团,其他副产品,4.01,0.011457142857142857,48,3,3,48,40,94,1.2188449848024316,3.4576271186440675
仓配,公路,原料场,新炼钢,铁矿石,熔剂,3.33,0.009514285714285715,3,32,32,3,39,94,1.0121580547112463,3.371186440677966
仓配,公路,石灰厂,老炼钢,轻烧白云石,主产品,3.24,0.009257142857142856,15,43,43,15,44,95,0.9744360902255638,3.8033898305084746
仓配,公路,原料场,老炼钢,白云石,熔剂,3.24,0.009257142857142856,3,43,43,3,25,1,92.57142857142856,2.161016949152542
回收,公路,老炼钢,原料场,OG泥,其他副产品,3.12,0.008914285714285715,43,3,3,43,38,12,7.428571428571429,3.284745762711864
回收,公路,新炼钢,废钢堆场,钢水罐铸余及事故钢水,废钢类,3.06,0.008742857142857142,32,46,46,32,22,31,2.8202764976958528,1.9016949152542373
仓配,公路,原料场,老炼钢,铁矿石,熔剂,2.27,0.006485714285714286,3,43,43,3,26,27,2.402116402116402,2.247457627118644
回收,公路,老炼钢,废钢堆场,钢水罐铸余及事故钢水,废钢类,2.08,0.005942857142857142,43,46,46,43,49,72,0.8253968253968254,4.235593220338983
仓配,公路,原料场,新炼钢,压块OG泥,冶金辅料,1.66,0.0047428571428571415,3,32,32,3,43,52,0.9120879120879117,3.716949152542372
回收,公路,新炼钢,废钢堆场,连铸切头切尾,废钢类,1.53,0.004371428571428571,32,46,46,32,19,29,1.5073891625615763,1.642372881355932
仓配,公路,原料场,新炼钢,萤石,熔剂,1.32,0.0037714285714285723,3,32,32,3,21,25,1.508571428571429,1.8152542372881355
仓配,公路,原料场,老炼钢,压块OG泥,冶金辅料,1.13,0.0032285714285714283,3,43,43,3,38,92,0.35093167701863354,3.284745762711864
回收,公路,老炼钢,废钢堆场,连铸切头切尾,废钢类,1.04,0.0029714285714285723,43,46,46,43,14,47,0.6322188449848026,1.2101694915254237
仓配,公路,原料场,老炼钢,萤石,熔剂,0.9,0.0025714285714285713,3,43,43,3,44,63,0.40816326530612246,3.8033898305084746
