,1003.669,560.926,,,393.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003.669,,,385.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560.926,,,,378.977,,,,,,,,,,,,,,,1505.925,,,,,,,,,,,,,,
,385.485,,,,992.626,,,,,326.239,,,,,,,,,,,,,,,,,,,,,,,
,,378.977,,,341.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393.475,,,992.626,341.379,,,,285.505,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1728.659,,,,,,,,,,,
,,,,,,,,387.877,,,,,,323.511,,,,,,,,,,,,,,,,,,,
,,,,,285.505,,387.877,,468.571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,468.571,,494.969,,,231.991,,,,,,,,,,,,,,,,,,,,
,,,326.239,,,,,,494.969,,203.838,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,203.838,,323.326,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,323.326,,95.572,,,,617.804,,,,,,,,,,,,,,,,
,,,,,,,,,231.991,,,95.572,,864.251,,,,,,,,,,,,,,,,,,,
,,,,,,,323.511,,,,,,864.251,,,492.093,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,643.609,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,492.093,,,844.263,,,337.114,,,,,,,,,,,,,
,,,,,,,,,,,,617.804,,,,844.263,,,,,331.594,,,,,,,,,,,,
,,,,,,,,,,,,,,,643.609,,,,220.758,,,746.898,,,,,,,,,,,
,,1505.925,,,,,,,,,,,,,,,,220.758,,448.873,,,750.75,,,,,,,,,,
,,,,,,,,,,,,,,,,337.114,,,448.873,,787.453,,,,758.19,,,,,,,,
,,,,,,,,,,,,,,,,,331.594,,,787.453,,,,,,,,884.083,,,,,
,,,,,,1728.659,,,,,,,,,,,,746.898,,,,,191.976,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,750.75,,,191.976,,,,,,,1178.264,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,863.074,,,,,,,,
,,,,,,,,,,,,,,,,,,,,758.19,,,,863.074,,,117.493,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,470.473,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,117.493,470.473,,664.968,,,711.023,,
,,,,,,,,,,,,,,,,,,,,,884.083,,,,,,664.968,,,667.621,,,
,,,,,,,,,,,,,,,,,,,,,,,1178.264,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.621,,,667.02,618.591,
,,,,,,,,,,,,,,,,,,,,,,,,,,,711.023,,,667.02,,,635.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.591,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.97,,
